"No.","Time","Source","Destination","Protocol","Identification"
"1","2022-03-11 10:46:39,209534642","192.168.2.10","192.168.2.6","UDP","0x3218 (12824)"
"2","2022-03-11 10:46:39,236585012","192.168.2.10","192.168.2.6","UDP","0x321c (12828)"
"3","2022-03-11 10:46:39,263697426","192.168.2.10","192.168.2.6","UDP","0x3235 (12853)"
"4","2022-03-11 10:46:39,289477357","192.168.2.10","192.168.2.6","UDP","0x3246 (12870)"
"5","2022-03-11 10:46:39,316566092","192.168.2.10","192.168.2.6","UDP","0x3250 (12880)"
"6","2022-03-11 10:46:39,343467810","192.168.2.10","192.168.2.6","UDP","0x326b (12907)"
"7","2022-03-11 10:46:39,369496834","192.168.2.10","192.168.2.6","UDP","0x3270 (12912)"
"8","2022-03-11 10:46:39,396636174","192.168.2.10","192.168.2.6","UDP","0x3287 (12935)"
"9","2022-03-11 10:46:39,423550570","192.168.2.10","192.168.2.6","UDP","0x3294 (12948)"
"10","2022-03-11 10:46:39,449531264","192.168.2.10","192.168.2.6","UDP","0x32ac (12972)"
"11","2022-03-11 10:46:39,476561499","192.168.2.10","192.168.2.6","UDP","0x32c4 (12996)"
"12","2022-03-11 10:46:39,503624673","192.168.2.10","192.168.2.6","UDP","0x32d9 (13017)"
"13","2022-03-11 10:46:39,529598774","192.168.2.10","192.168.2.6","UDP","0x32e9 (13033)"
"14","2022-03-11 10:46:39,556619692","192.168.2.10","192.168.2.6","UDP","0x32f2 (13042)"
"15","2022-03-11 10:46:39,583598585","192.168.2.10","192.168.2.6","UDP","0x3308 (13064)"
"16","2022-03-11 10:46:39,609845137","192.168.2.10","192.168.2.6","UDP","0x331a (13082)"
"17","2022-03-11 10:46:39,636438927","192.168.2.10","192.168.2.6","UDP","0x3323 (13091)"
"18","2022-03-11 10:46:39,663476127","192.168.2.10","192.168.2.6","UDP","0x3336 (13110)"
"19","2022-03-11 10:46:39,689564053","192.168.2.10","192.168.2.6","UDP","0x3343 (13123)"
"20","2022-03-11 10:46:39,716570753","192.168.2.10","192.168.2.6","UDP","0x3348 (13128)"
"21","2022-03-11 10:46:39,743594031","192.168.2.10","192.168.2.6","UDP","0x334a (13130)"
"22","2022-03-11 10:46:39,769587859","192.168.2.10","192.168.2.6","UDP","0x3362 (13154)"
"23","2022-03-11 10:46:39,796574916","192.168.2.10","192.168.2.6","UDP","0x337b (13179)"
"24","2022-03-11 10:46:39,823613795","192.168.2.10","192.168.2.6","UDP","0x3386 (13190)"
"25","2022-03-11 10:46:39,849536705","192.168.2.10","192.168.2.6","UDP","0x3398 (13208)"
"26","2022-03-11 10:46:39,876535214","192.168.2.10","192.168.2.6","UDP","0x3399 (13209)"
"27","2022-03-11 10:46:39,903565543","192.168.2.10","192.168.2.6","UDP","0x339d (13213)"
"28","2022-03-11 10:46:39,929625372","192.168.2.10","192.168.2.6","UDP","0x33a4 (13220)"
"29","2022-03-11 10:46:39,956589820","192.168.2.10","192.168.2.6","UDP","0x33a9 (13225)"
"30","2022-03-11 10:46:39,983601142","192.168.2.10","192.168.2.6","UDP","0x33ae (13230)"
"31","2022-03-11 10:46:40,009627405","192.168.2.10","192.168.2.6","UDP","0x33c0 (13248)"
"32","2022-03-11 10:46:40,036531241","192.168.2.10","192.168.2.6","UDP","0x33d2 (13266)"
"33","2022-03-11 10:46:40,063527911","192.168.2.10","192.168.2.6","UDP","0x33e8 (13288)"
"34","2022-03-11 10:46:40,089584172","192.168.2.10","192.168.2.6","UDP","0x33fa (13306)"
"35","2022-03-11 10:46:40,116506758","192.168.2.10","192.168.2.6","UDP","0x3401 (13313)"
"36","2022-03-11 10:46:40,143544265","192.168.2.10","192.168.2.6","UDP","0x3410 (13328)"
"37","2022-03-11 10:46:40,169549304","192.168.2.10","192.168.2.6","UDP","0x3415 (13333)"
"38","2022-03-11 10:46:40,196592288","192.168.2.10","192.168.2.6","UDP","0x3420 (13344)"
"39","2022-03-11 10:46:40,223854859","192.168.2.10","192.168.2.6","UDP","0x342a (13354)"
"40","2022-03-11 10:46:40,250641562","192.168.2.10","192.168.2.6","UDP","0x3444 (13380)"
"41","2022-03-11 10:46:40,277624682","192.168.2.10","192.168.2.6","UDP","0x344f (13391)"
"42","2022-03-11 10:46:40,304602755","192.168.2.10","192.168.2.6","UDP","0x345f (13407)"
"43","2022-03-11 10:46:40,331584798","192.168.2.10","192.168.2.6","UDP","0x3461 (13409)"
"44","2022-03-11 10:46:40,358613917","192.168.2.10","192.168.2.6","UDP","0x347b (13435)"
"45","2022-03-11 10:46:40,385614319","192.168.2.10","192.168.2.6","UDP","0x348e (13454)"
"46","2022-03-11 10:46:40,412525566","192.168.2.10","192.168.2.6","UDP","0x3493 (13459)"
"47","2022-03-11 10:46:40,439539626","192.168.2.10","192.168.2.6","UDP","0x34a0 (13472)"
"48","2022-03-11 10:46:40,466554394","192.168.2.10","192.168.2.6","UDP","0x34a3 (13475)"
"49","2022-03-11 10:46:40,493479436","192.168.2.10","192.168.2.6","UDP","0x34a7 (13479)"
"50","2022-03-11 10:46:40,520609195","192.168.2.10","192.168.2.6","UDP","0x34a9 (13481)"
"51","2022-03-11 10:46:40,547611329","192.168.2.10","192.168.2.6","UDP","0x34b6 (13494)"
"52","2022-03-11 10:46:40,573655373","192.168.2.10","192.168.2.6","UDP","0x34d0 (13520)"
"53","2022-03-11 10:46:40,600618079","192.168.2.10","192.168.2.6","UDP","0x34e8 (13544)"
"54","2022-03-11 10:46:40,627525553","192.168.2.10","192.168.2.6","UDP","0x34f9 (13561)"
"55","2022-03-11 10:46:40,654491214","192.168.2.10","192.168.2.6","UDP","0x350d (13581)"
"56","2022-03-11 10:46:40,680427024","192.168.2.10","192.168.2.6","UDP","0x3516 (13590)"
"57","2022-03-11 10:46:40,707594035","192.168.2.10","192.168.2.6","UDP","0x352b (13611)"
"58","2022-03-11 10:46:40,734583273","192.168.2.10","192.168.2.6","UDP","0x3530 (13616)"
"59","2022-03-11 10:46:40,761492483","192.168.2.10","192.168.2.6","UDP","0x3541 (13633)"
"60","2022-03-11 10:46:40,788621540","192.168.2.10","192.168.2.6","UDP","0x354b (13643)"
"61","2022-03-11 10:46:40,815579238","192.168.2.10","192.168.2.6","UDP","0x3552 (13650)"
"62","2022-03-11 10:46:40,841631341","192.168.2.10","192.168.2.6","UDP","0x3569 (13673)"
"63","2022-03-11 10:46:40,867899115","192.168.2.10","192.168.2.6","UDP","0x3582 (13698)"
"64","2022-03-11 10:46:40,893676635","192.168.2.10","192.168.2.6","UDP","0x359a (13722)"
"65","2022-03-11 10:46:40,920503081","192.168.2.10","192.168.2.6","UDP","0x35a1 (13729)"
"66","2022-03-11 10:46:40,947633955","192.168.2.10","192.168.2.6","UDP","0x35a2 (13730)"
"67","2022-03-11 10:46:40,974578368","192.168.2.10","192.168.2.6","UDP","0x35b5 (13749)"
"68","2022-03-11 10:46:41,001477273","192.168.2.10","192.168.2.6","UDP","0x35bd (13757)"
"69","2022-03-11 10:46:41,028620526","192.168.2.10","192.168.2.6","UDP","0x35ce (13774)"
"70","2022-03-11 10:46:41,055503677","192.168.2.10","192.168.2.6","UDP","0x35d2 (13778)"
"71","2022-03-11 10:46:41,082572302","192.168.2.10","192.168.2.6","UDP","0x35ed (13805)"
"72","2022-03-11 10:46:41,108569966","192.168.2.10","192.168.2.6","UDP","0x35fc (13820)"
"73","2022-03-11 10:46:41,135565274","192.168.2.10","192.168.2.6","UDP","0x3614 (13844)"
"74","2022-03-11 10:46:41,161635075","192.168.2.10","192.168.2.6","UDP","0x362e (13870)"
"75","2022-03-11 10:46:41,188654412","192.168.2.10","192.168.2.6","UDP","0x3646 (13894)"
"76","2022-03-11 10:46:41,215634757","192.168.2.10","192.168.2.6","UDP","0x364b (13899)"
"77","2022-03-11 10:46:41,241575375","192.168.2.10","192.168.2.6","UDP","0x3661 (13921)"
"78","2022-03-11 10:46:41,268572958","192.168.2.10","192.168.2.6","UDP","0x3674 (13940)"
"79","2022-03-11 10:46:41,295693467","192.168.2.10","192.168.2.6","UDP","0x3684 (13956)"
"80","2022-03-11 10:46:41,322613230","192.168.2.10","192.168.2.6","UDP","0x3690 (13968)"
"81","2022-03-11 10:46:41,349584712","192.168.2.10","192.168.2.6","UDP","0x36a2 (13986)"
"82","2022-03-11 10:46:41,376566744","192.168.2.10","192.168.2.6","UDP","0x36ac (13996)"
"83","2022-03-11 10:46:41,403593457","192.168.2.10","192.168.2.6","UDP","0x36ba (14010)"
"84","2022-03-11 10:46:41,430568793","192.168.2.10","192.168.2.6","UDP","0x36c6 (14022)"
"85","2022-03-11 10:46:41,457615004","192.168.2.10","192.168.2.6","UDP","0x36ca (14026)"
"86","2022-03-11 10:46:41,484477745","192.168.2.10","192.168.2.6","UDP","0x36cd (14029)"
"87","2022-03-11 10:46:41,511530350","192.168.2.10","192.168.2.6","UDP","0x36e4 (14052)"
"88","2022-03-11 10:46:41,538580577","192.168.2.10","192.168.2.6","UDP","0x36e9 (14057)"
"89","2022-03-11 10:46:41,565570130","192.168.2.10","192.168.2.6","UDP","0x36fe (14078)"
"90","2022-03-11 10:46:41,591658495","192.168.2.10","192.168.2.6","UDP","0x3717 (14103)"
