"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"1","2022-03-11 10:46:49,926252392","192.168.2.10","192.168.2.6","UDP","0x480f (18447)","256","0.000000000"
"2","2022-03-11 10:46:49,953282913","192.168.2.10","192.168.2.6","UDP","0x4825 (18469)","255","0.027030521"
"3","2022-03-11 10:46:49,980338034","192.168.2.10","192.168.2.6","UDP","0x4834 (18484)","254","0.027055121"
"4","2022-03-11 10:46:50,007342795","192.168.2.10","192.168.2.6","UDP","0x4840 (18496)","255","0.027004761"
"5","2022-03-11 10:46:50,034240326","192.168.2.10","192.168.2.6","UDP","0x4857 (18519)","255","0.026897531"
"6","2022-03-11 10:46:50,061386074","192.168.2.10","192.168.2.6","UDP","0x486f (18543)","256","0.027145748"
"7","2022-03-11 10:46:50,088305583","192.168.2.10","192.168.2.6","UDP","0x487c (18556)","257","0.026919509"
"8","2022-03-11 10:46:50,115388842","192.168.2.10","192.168.2.6","UDP","0x4895 (18581)","254","0.027083259"
"9","2022-03-11 10:46:50,142386209","192.168.2.10","192.168.2.6","UDP","0x48a8 (18600)","257","0.026997367"
"10","2022-03-11 10:46:50,169410671","192.168.2.10","192.168.2.6","UDP","0x48aa (18602)","256","0.027024462"
"11","2022-03-11 10:46:50,196544419","192.168.2.10","192.168.2.6","UDP","0x48c2 (18626)","255","0.027133748"
"12","2022-03-11 10:46:50,223348584","192.168.2.10","192.168.2.6","UDP","0x48c9 (18633)","256","0.026804165"
"13","2022-03-11 10:46:50,250441798","192.168.2.10","192.168.2.6","UDP","0x48d5 (18645)","255","0.027093214"
"14","2022-03-11 10:46:50,277454671","192.168.2.10","192.168.2.6","UDP","0x48dc (18652)","255","0.027012873"
"15","2022-03-11 10:46:50,304353546","192.168.2.10","192.168.2.6","UDP","0x48dd (18653)","255","0.026898875"
"16","2022-03-11 10:46:50,331252403","192.168.2.10","192.168.2.6","UDP","0x48eb (18667)","257","0.026898857"
"17","2022-03-11 10:46:50,358300085","192.168.2.10","192.168.2.6","UDP","0x4904 (18692)","257","0.027047682"
"18","2022-03-11 10:46:50,386334406","192.168.2.10","192.168.2.6","UDP","0x491a (18714)","256","0.028034321"
"19","2022-03-11 10:46:50,413261504","192.168.2.10","192.168.2.6","UDP","0x492b (18731)","252","0.026927098"
"20","2022-03-11 10:46:50,440534968","192.168.2.10","192.168.2.6","UDP","0x4939 (18745)","255","0.027273464"
"21","2022-03-11 10:46:50,467326027","192.168.2.10","192.168.2.6","UDP","0x4950 (18768)","256","0.026791059"
"22","2022-03-11 10:46:50,494416419","192.168.2.10","192.168.2.6","UDP","0x4951 (18769)","257","0.027090392"
"23","2022-03-11 10:46:50,521285707","192.168.2.10","192.168.2.6","UDP","0x495a (18778)","256","0.026869288"
"24","2022-03-11 10:46:50,548566267","192.168.2.10","192.168.2.6","UDP","0x495f (18783)","256","0.027280560"
"25","2022-03-11 10:46:50,575397911","192.168.2.10","192.168.2.6","UDP","0x4976 (18806)","256","0.026831644"
"26","2022-03-11 10:46:50,602360828","192.168.2.10","192.168.2.6","UDP","0x4985 (18821)","255","0.026962917"
"27","2022-03-11 10:46:50,629301649","192.168.2.10","192.168.2.6","UDP","0x4992 (18834)","256","0.026940821"
"28","2022-03-11 10:46:50,656267460","192.168.2.10","192.168.2.6","UDP","0x4993 (18835)","256","0.026965811"
"29","2022-03-11 10:46:50,683400601","192.168.2.10","192.168.2.6","UDP","0x49ad (18861)","255","0.027133141"
"30","2022-03-11 10:46:50,710406869","192.168.2.10","192.168.2.6","UDP","0x49c5 (18885)","253","0.027006268"
"31","2022-03-11 10:46:50,737379730","192.168.2.10","192.168.2.6","UDP","0x49d0 (18896)","256","0.026972861"
"32","2022-03-11 10:46:50,764390368","192.168.2.10","192.168.2.6","UDP","0x49d8 (18904)","256","0.027010638"
"33","2022-03-11 10:46:50,791330243","192.168.2.10","192.168.2.6","UDP","0x49d9 (18905)","254","0.026939875"
"34","2022-03-11 10:46:50,818346624","192.168.2.10","192.168.2.6","UDP","0x49e8 (18920)","256","0.027016381"
