"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time delta from previous captured frame"
"1","2022-03-11 10:46:39,209534642","192.168.2.10","192.168.2.6","UDP","0x3218 (12824)","255","0.000000000"
"2","2022-03-11 10:46:39,236585012","192.168.2.10","192.168.2.6","UDP","0x321c (12828)","255","0.027050370"
"3","2022-03-11 10:46:39,263697426","192.168.2.10","192.168.2.6","UDP","0x3235 (12853)","256","0.027112414"
"4","2022-03-11 10:46:39,289477357","192.168.2.10","192.168.2.6","UDP","0x3246 (12870)","256","0.025779931"
"5","2022-03-11 10:46:39,316566092","192.168.2.10","192.168.2.6","UDP","0x3250 (12880)","257","0.027088735"
"6","2022-03-11 10:46:39,343467810","192.168.2.10","192.168.2.6","UDP","0x326b (12907)","256","0.026901718"
"7","2022-03-11 10:46:39,369496834","192.168.2.10","192.168.2.6","UDP","0x3270 (12912)","255","0.026029024"
"8","2022-03-11 10:46:39,396636174","192.168.2.10","192.168.2.6","UDP","0x3287 (12935)","256","0.027139340"
"9","2022-03-11 10:46:39,423550570","192.168.2.10","192.168.2.6","UDP","0x3294 (12948)","256","0.026914396"
"10","2022-03-11 10:46:39,449531264","192.168.2.10","192.168.2.6","UDP","0x32ac (12972)","256","0.025980694"
"11","2022-03-11 10:46:39,476561499","192.168.2.10","192.168.2.6","UDP","0x32c4 (12996)","256","0.027030235"
"12","2022-03-11 10:46:39,503624673","192.168.2.10","192.168.2.6","UDP","0x32d9 (13017)","251","0.027063174"
"13","2022-03-11 10:46:39,529598774","192.168.2.10","192.168.2.6","UDP","0x32e9 (13033)","257","0.025974101"
"14","2022-03-11 10:46:39,556619692","192.168.2.10","192.168.2.6","UDP","0x32f2 (13042)","256","0.027020918"
"15","2022-03-11 10:46:39,583598585","192.168.2.10","192.168.2.6","UDP","0x3308 (13064)","254","0.026978893"
"16","2022-03-11 10:46:39,609845137","192.168.2.10","192.168.2.6","UDP","0x331a (13082)","255","0.026246552"
"17","2022-03-11 10:46:39,636438927","192.168.2.10","192.168.2.6","UDP","0x3323 (13091)","256","0.026593790"
"18","2022-03-11 10:46:39,663476127","192.168.2.10","192.168.2.6","UDP","0x3336 (13110)","254","0.027037200"
"19","2022-03-11 10:46:39,689564053","192.168.2.10","192.168.2.6","UDP","0x3343 (13123)","257","0.026087926"
"20","2022-03-11 10:46:39,716570753","192.168.2.10","192.168.2.6","UDP","0x3348 (13128)","256","0.027006700"
"21","2022-03-11 10:46:39,743594031","192.168.2.10","192.168.2.6","UDP","0x334a (13130)","253","0.027023278"
"22","2022-03-11 10:46:39,769587859","192.168.2.10","192.168.2.6","UDP","0x3362 (13154)","255","0.025993828"
"23","2022-03-11 10:46:39,796574916","192.168.2.10","192.168.2.6","UDP","0x337b (13179)","256","0.026987057"
"24","2022-03-11 10:46:39,823613795","192.168.2.10","192.168.2.6","UDP","0x3386 (13190)","257","0.027038879"
"25","2022-03-11 10:46:39,849536705","192.168.2.10","192.168.2.6","UDP","0x3398 (13208)","257","0.025922910"
"26","2022-03-11 10:46:39,876535214","192.168.2.10","192.168.2.6","UDP","0x3399 (13209)","257","0.026998509"
"27","2022-03-11 10:46:39,903565543","192.168.2.10","192.168.2.6","UDP","0x339d (13213)","256","0.027030329"
"28","2022-03-11 10:46:39,929625372","192.168.2.10","192.168.2.6","UDP","0x33a4 (13220)","256","0.026059829"
