"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"1","2022-03-11 10:56:22,262103417","192.168.2.10","192.168.2.6","UDP","0xd41c (54300)","254","0.000000000"
"2","2022-03-11 10:56:22,288968275","192.168.2.10","192.168.2.6","UDP","0xd423 (54307)","250","0.026864858"
"3","2022-03-11 10:56:22,315997978","192.168.2.10","192.168.2.6","UDP","0xd435 (54325)","253","0.027029703"
"4","2022-03-11 10:56:22,343336522","192.168.2.10","192.168.2.6","UDP","0xd44a (54346)","254","0.027338544"
"5","2022-03-11 10:56:22,370146107","192.168.2.10","192.168.2.6","UDP","0xd463 (54371)","253","0.026809585"
"6","2022-03-11 10:56:22,397150318","192.168.2.10","192.168.2.6","UDP","0xd472 (54386)","253","0.027004211"
"7","2022-03-11 10:56:22,424050421","192.168.2.10","192.168.2.6","UDP","0xd476 (54390)","250","0.026900103"
"8","2022-03-11 10:56:22,451200264","192.168.2.10","192.168.2.6","UDP","0xd47e (54398)","254","0.027149843"
"9","2022-03-11 10:56:22,478143373","192.168.2.10","192.168.2.6","UDP","0xd483 (54403)","253","0.026943109"
"10","2022-03-11 10:56:22,505141501","192.168.2.10","192.168.2.6","UDP","0xd48c (54412)","251","0.026998128"
"11","2022-03-11 10:56:22,532070531","192.168.2.10","192.168.2.6","UDP","0xd493 (54419)","251","0.026929030"
"12","2022-03-11 10:56:22,559148692","192.168.2.10","192.168.2.6","UDP","0xd4ac (54444)","252","0.027078161"
"13","2022-03-11 10:56:22,586167934","192.168.2.10","192.168.2.6","UDP","0xd4b8 (54456)","253","0.027019242"
"14","2022-03-11 10:56:22,613135222","192.168.2.10","192.168.2.6","UDP","0xd4ce (54478)","254","0.026967288"
"15","2022-03-11 10:56:22,640162703","192.168.2.10","192.168.2.6","UDP","0xd4d1 (54481)","253","0.027027481"
"16","2022-03-11 10:56:22,667131995","192.168.2.10","192.168.2.6","UDP","0xd4e3 (54499)","254","0.026969292"
"17","2022-03-11 10:56:22,694187837","192.168.2.10","192.168.2.6","UDP","0xd4fd (54525)","254","0.027055842"
"18","2022-03-11 10:56:22,721113205","192.168.2.10","192.168.2.6","UDP","0xd50d (54541)","254","0.026925368"
"19","2022-03-11 10:56:22,747958080","192.168.2.10","192.168.2.6","UDP","0xd51e (54558)","251","0.026844875"
"20","2022-03-11 10:56:22,775105352","192.168.2.10","192.168.2.6","UDP","0xd536 (54582)","252","0.027147272"
"21","2022-03-11 10:56:22,802133956","192.168.2.10","192.168.2.6","UDP","0xd54b (54603)","249","0.027028604"
"22","2022-03-11 10:56:22,829161590","192.168.2.10","192.168.2.6","UDP","0xd553 (54611)","251","0.027027634"
"23","2022-03-11 10:56:22,856160777","192.168.2.10","192.168.2.6","UDP","0xd568 (54632)","253","0.026999187"
"24","2022-03-11 10:56:22,883162291","192.168.2.10","192.168.2.6","UDP","0xd571 (54641)","252","0.027001514"
"25","2022-03-11 10:56:22,910143106","192.168.2.10","192.168.2.6","UDP","0xd588 (54664)","252","0.026980815"
"26","2022-03-11 10:56:22,937289248","192.168.2.10","192.168.2.6","UDP","0xd596 (54678)","254","0.027146142"
"27","2022-03-11 10:56:22,964200966","192.168.2.10","192.168.2.6","UDP","0xd5a4 (54692)","252","0.026911718"
"28","2022-03-11 10:56:22,991080623","192.168.2.10","192.168.2.6","UDP","0xd5b2 (54706)","249","0.026879657"
"29","2022-03-11 10:56:23,018024516","192.168.2.10","192.168.2.6","UDP","0xd5bd (54717)","253","0.026943893"
"30","2022-03-11 10:56:23,045110431","192.168.2.10","192.168.2.6","UDP","0xd5d8 (54744)","250","0.027085915"
"31","2022-03-11 10:56:23,072295116","192.168.2.10","192.168.2.6","UDP","0xd5e0 (54752)","251","0.027184685"
"32","2022-03-11 10:56:23,098973329","192.168.2.10","192.168.2.6","UDP","0xd5ee (54766)","251","0.026678213"
"33","2022-03-11 10:56:23,125952906","192.168.2.10","192.168.2.6","UDP","0xd5f0 (54768)","252","0.026979577"
"34","2022-03-11 10:56:23,153193651","192.168.2.10","192.168.2.6","UDP","0xd5f5 (54773)","253","0.027240745"
"35","2022-03-11 10:56:23,180133723","192.168.2.10","192.168.2.6","UDP","0xd608 (54792)","253","0.026940072"
"36","2022-03-11 10:56:23,207146448","192.168.2.10","192.168.2.6","UDP","0xd60b (54795)","253","0.027012725"
"37","2022-03-11 10:56:23,235120177","192.168.2.10","192.168.2.6","UDP","0xd623 (54819)","249","0.027973729"
"38","2022-03-11 10:56:23,262140753","192.168.2.10","192.168.2.6","UDP","0xd629 (54825)","253","0.027020576"
"39","2022-03-11 10:56:23,289027756","192.168.2.10","192.168.2.6","UDP","0xd63a (54842)","252","0.026887003"
"40","2022-03-11 10:56:23,316057165","192.168.2.10","192.168.2.6","UDP","0xd655 (54869)","252","0.027029409"
"41","2022-03-11 10:56:23,343116648","192.168.2.10","192.168.2.6","UDP","0xd65d (54877)","254","0.027059483"
"42","2022-03-11 10:56:23,370069166","192.168.2.10","192.168.2.6","UDP","0xd663 (54883)","252","0.026952518"
"43","2022-03-11 10:56:23,397161353","192.168.2.10","192.168.2.6","UDP","0xd67e (54910)","254","0.027092187"
"44","2022-03-11 10:56:23,424101435","192.168.2.10","192.168.2.6","UDP","0xd698 (54936)","254","0.026940082"
"45","2022-03-11 10:56:23,451095996","192.168.2.10","192.168.2.6","UDP","0xd6a9 (54953)","252","0.026994561"
"46","2022-03-11 10:56:23,478146628","192.168.2.10","192.168.2.6","UDP","0xd6b4 (54964)","253","0.027050632"
"47","2022-03-11 10:56:23,505045072","192.168.2.10","192.168.2.6","UDP","0xd6c8 (54984)","251","0.026898444"
"48","2022-03-11 10:56:23,531986160","192.168.2.10","192.168.2.6","UDP","0xd6d1 (54993)","251","0.026941088"
"49","2022-03-11 10:56:23,559068964","192.168.2.10","192.168.2.6","UDP","0xd6d2 (54994)","254","0.027082804"
"50","2022-03-11 10:56:23,586066407","192.168.2.10","192.168.2.6","UDP","0xd6e6 (55014)","250","0.026997443"
"51","2022-03-11 10:56:23,613070111","192.168.2.10","192.168.2.6","UDP","0xd6f3 (55027)","251","0.027003704"
"52","2022-03-11 10:56:23,640087546","192.168.2.10","192.168.2.6","UDP","0xd6f6 (55030)","250","0.027017435"
"53","2022-03-11 10:56:23,667160151","192.168.2.10","192.168.2.6","UDP","0xd70c (55052)","253","0.027072605"
"54","2022-03-11 10:56:23,694105718","192.168.2.10","192.168.2.6","UDP","0xd715 (55061)","249","0.026945567"
"55","2022-03-11 10:56:23,720862264","192.168.2.10","192.168.2.6","UDP","0xd720 (55072)","252","0.026756546"
"56","2022-03-11 10:56:23,748092575","192.168.2.10","192.168.2.6","UDP","0xd721 (55073)","251","0.027230311"
